PR,PK,Longitude,Latitude
44.0,1400.0,20519580.087766,5524031.944858
44.0,1395.0,20519548.596649,5524068.646455
44.0,1390.0,20519517.598912,5524108.241919
44.0,1385.0,20519486.745869,5524147.726857
44.0,1380.0,20519457.18942,5524186.771752
44.0,1375.0,20519425.40233,5524226.253665
44.0,1370.0,20519395.413644,5524265.742244
44.0,1365.0,20519365.134926,5524306.008534
46.0,1300.0,20519121.083887,5524942.910328
46.0,1295.0,20519088.446303,5524980.834034
46.0,1290.0,20519059.398644,5525020.439054
46.0,1285.0,20519027.400078,5525060.923611
46.0,1280.0,20518996.559953,5525099.299136
46.0,1275.0,20518964.780002,5525139.228701
46.0,1270.0,20518935.948248,5525179.280053
46.0,1265.0,20518903.311045,5525217.872241
46.0,1260.0,20518872.901001,5525257.139799
46.0,1255.0,20518842.345644,5525296.963153
46.0,1250.0,20518811.433164,5525336.229297
46.0,1245.0,20518780.018978,5525375.160187
46.0,1240.0,20518748.172669,5525414.423434
46.0,1235.0,20518719.054443,5525455.031082
46.0,1230.0,20518687.928445,5525494.185964
44.0,1230.0,20518529.451288,5525370.398515
44.0,1235.0,20518563.962817,5525329.363551
44.0,1240.0,20518594.074509,5525292.428994
44.0,1245.0,20518624.278537,5525249.71113
44.0,1250.0,20518654.756393,5525211.109777
44.0,1290.0,20518901.708092,5524896.309888
44.0,1260.0,20518715.506978,5525131.23743
44.0,1265.0,20518746.41643,5525092.971776
44.0,1270.0,20518776.74951,5525055.149194
44.0,1275.0,20518808.103327,5525013.437413
44.0,1280.0,20518837.646685,5524975.501188
44.0,1285.0,20518870.652601,5524934.574141
42.0,1405.0,20519451.368323,5523867.085164
42.0,1400.0,20519420.661058,5523905.792412
42.0,1395.0,20519390.389771,5523943.389137
42.0,1390.0,20519359.747297,5523984.321498
42.0,1385.0,20519327.669666,5524024.470293
42.0,1380.0,20519298.043382,5524063.070892
42.0,1375.0,20519266.908002,5524101.443798
42.0,1370.0,20519236.554635,5524142.48912
42.0,1365.0,20519205.778551,5524181.197343
42.0,1360.0,20519173.847858,5524221.125122
42.0,1355.0,20519144.797507,5524260.17352
42.0,1350.0,20519113.945696,5524300.327944
42.0,1345.0,20519082.453009,5524338.811872
42.0,1340.0,20519051.888987,5524379.190124
42.0,1335.0,20519020.109145,5524417.784626
42.0,1330.0,20518990.627506,5524457.388463
42.0,1325.0,20518958.841509,5524497.985384
42.0,1320.0,20518928.933182,5524536.475788
42.0,1315.0,20518898.088454,5524575.519203
42.0,1310.0,20518867.456791,5524615.453356
44.0,1310.0,20519025.158763,5524738.914091
44.0,1315.0,20519055.140945,5524699.757112
44.0,1320.0,20519085.985719,5524660.825812
44.0,1325.0,20519116.401831,5524621.225806
44.0,1330.0,20519147.036502,5524580.959387
44.0,1335.0,20519178.175026,5524540.694938
44.0,1340.0,20519208.518191,5524501.762551
44.0,1345.0,20519238.212968,5524463.272923
44.0,1350.0,20519268.477519,5524426.4539
44.0,1355.0,20519301.062138,5524384.526935
44.0,1360.0,20519331.622812,5524345.59602
44.0,1305.0,20518992.65229,5524780.286863
44.0,1300.0,20518963.110698,5524817.109979
44.0,1255.0,20518685.886855,5525171.064913
44.0,1295.0,20518932.482254,5524856.376422
42.0,1230.0,20518375.22061,5525243.293489
42.0,1235.0,20518405.193755,5525204.577784
42.0,1240.0,20518435.810288,5525167.087946
