PR,PK,"Resistivity,(Ohm/m)","Polarization,(%)"
600.0,12700.0,46.6887870947951,0.471070941970571
600.0,12750.0,42.7475130073196,0.361640368370817
600.0,12800.0,40.4340033365115,0.258834619335915
600.0,12850.0,43.5452733378089,0.279174029839357
600.0,12900.0,45.7614570567701,0.357131080701852
600.0,12950.0,33.6358660871136,0.148134670517969
600.0,13000.0,38.9692447123506,0.357131080701852
600.0,13050.0,31.8857249853168,0.148134670517969
800.0,10500.0,195.150659285561,0.710432517445218
800.0,10550.0,180.821803104881,0.637136694055461
800.0,10600.0,192.756145658777,0.647455542606185
800.0,10650.0,200.625369601392,0.635097838750886
800.0,10700.0,166.531778238444,0.580416858018687
800.0,10750.0,176.382866167495,0.636800071321102
800.0,10800.0,168.675405976261,0.643548508742932
800.0,10850.0,138.456158064252,0.557081702494276
800.0,10900.0,199.994816305073,0.632520757200495
800.0,10950.0,234.182967574627,0.603494233435893
800.0,11000.0,231.813873828689,0.596247716262915
800.0,11050.0,194.122373043366,0.556917730710969
800.0,11100.0,210.255325820178,0.59392926132976
800.0,11150.0,212.777991273829,0.572244987915687
800.0,11200.0,171.912109347952,0.551528764889002
800.0,11250.0,161.909732409414,0.499380372002614
800.0,11300.0,205.644284427007,0.583582151956091
800.0,11350.0,207.959241119306,0.604670404201052
800.0,11400.0,167.52939193309,0.574056922091728
800.0,11450.0,138.037783840064,0.538998772458786
800.0,11500.0,101.140234174065,0.490772986312544
800.0,11550.0,87.657496042422,0.414181681598106
800.0,11600.0,81.3251432285794,0.546683270031911
800.0,11650.0,154.167109164449,0.710736064778421
800.0,11700.0,227.938002062343,0.609526780876022
800.0,11750.0,204.979416222121,0.573157381382001
800.0,11800.0,223.473614811692,0.643249357358969
800.0,11850.0,197.76518832887,0.659608368413228
800.0,11900.0,155.078614092646,0.51545310118127
800.0,11950.0,118.213004576227,0.54575713420351
800.0,12000.0,83.1519834223114,0.432797454840007
800.0,12050.0,103.883484922223,0.322540854764806
800.0,12100.0,103.415647400901,0.376846163442308
800.0,12150.0,127.846141441753,0.541900217141247
800.0,12200.0,154.699859315696,0.430347176068156
800.0,12250.0,136.60327392477,0.392781518472707
800.0,12300.0,124.095993804302,0.449640160298008
800.0,12350.0,98.0267919756494,0.324369502875697
800.0,12400.0,67.8879173986798,0.288344163376369
